Id,TableInfoId,ColumnName,BusinessMeaning,BusinessContext,DataExamples,ValidationRules,IsKeyColumn,IsActive,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,NaturalLanguageAliases,ValueExamples,DataLineage,CalculationRules,SemanticTags,BusinessDataType,ConstraintsAndRules,DataQualityScore,UsageFrequency,PreferredAggregation,RelatedBusinessTerms,IsSensitiveData,IsCalculatedField,SemanticContext,ConceptualRelationships,DomainSpecificTerms,QueryIntentMapping,BusinessQuestionTypes,SemanticSynonyms,AnalyticalContext,BusinessMetrics,SemanticRelevanceScore,LLMPromptHints,VectorSearchTags,BusinessPurpose,BusinessFriendlyName,NaturalLanguageDescription,BusinessRules,RelationshipContext,DataGovernanceLevel,LastBusinessReview,ImportanceScore
1661,222,ID,Primary key for daily activity records,Essential for record identification and data integrity across all gambling operations,"1, 2, 3, 1001, 5432",Must be unique; Cannot be null; Auto-incrementing,1,1,2025-07-02 06:15:50.7511510,2025-07-02 06:15:53.2463620,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""Record ID"",""Primary Key"",""Activity ID""]","[""1"",""2"",""3"",""1001"",""5432""]","Source: DailyActions.ID, Type: bigint",Auto-generated unique identifier,"[""primary_key""]",Identifier,"NOT NULL, PRIMARY KEY, UNIQUE, NOT NULL",0.9900,1.0000,COUNT,"[""Data Integrity"",""Record Management"",""Database Design""]",0,0,Unique identifier essential for data integrity and record linkage across gambling platform,"[""Links to all related tables"",""Parent record identifier"",""Enables data integrity"",""Foundation for joins""]","[""Primary Key"",""Identifier"",""Reference"",""Data Integrity""]","[""record identification"",""data integrity checks"",""join operations"",""unique filtering""]","[""How many records exist?"",""What is the data volume?"",""Are there any duplicate records?"",""What is the record growth rate?""]","[""ID"",""Key"",""Identifier"",""Reference"",""Primary_Key"",""Record_ID"",""Unique_ID""]",Standard analytical dimension or measure for business intelligence,"[""Record Count"",""Data Volume"",""Growth Rate"",""Unique Records"",""Data Integrity""]",0.70,"[""Use for record identification"",""Essential for data integrity"",""Primary key for joins"",""Unique identifier for filtering""]","[""id"",""primary_key"",""identifier"",""record"",""unique"",""key"",""reference"",""join_key""]",Ensures data integrity and enables efficient record identification and retrieval,tbl_Daily_actions Record ID,"Unique identifier for each record in the tbl_Daily_actions table, ensuring data integrity and enabling efficient record retrieval.","[""Field is mandatory and cannot be null"",""Must be unique across all records""]","{""type"":""Primary Key"",""relationships"":[""Links to all other columns in this table"",""Referenced by foreign keys in related tables""]}",Internal,2025-07-02 06:15:53.2463616,0.95
1662,222,Date,Date for which activities are aggregated,"Critical for daily reporting, trend analysis, and regulatory compliance reporting","2024-01-01, 2024-01-02, 2024-12-31",Must be business day for some operations; Cannot exceed current date,0,1,2025-07-02 06:15:50.7883022,2025-07-02 06:15:53.2468724,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""Activity Date"",""Daily Date"",""Business Date"",""Report Date""]","[""2024-01-15"",""2024-02-28"",""2024-12-31""]","Source: DailyActions.Date, Type: datetime",Direct data entry from source systems,"[""temporal"",""daily"",""reporting""]",DateTime,"NOT NULL, Valid date format required",0.9500,0.9500,GROUP BY,"[""Time Series"",""Reporting Period"",""Temporal Analysis""]",0,0,"Temporal dimension critical for daily reporting, trend analysis, and regulatory compliance","[""Relates to calendar dimension"",""Links to reporting periods"",""Enables temporal analysis"",""Connects to trend data"",""Foundation for time-series""]","[""Temporal"",""Time Series"",""Reporting Period"",""Calendar""]","[""daily reports"",""trend analysis"",""period filtering"",""time series analysis""]","[""What happened on specific dates?"",""How do metrics trend over time?"",""What are the daily patterns?"",""Which periods performed best?""]","[""Day"",""Period"",""Time"",""When"",""Daily"",""Temporal"",""Date_Dimension"",""Time_Period"",""Business_Date""]","Primary dimension for time-series analysis, trending, and period comparisons","[""Daily Trends"",""Period Analysis"",""Time Series"",""Seasonal Patterns"",""Growth Rates""]",0.95,"[""Use for daily filtering"",""Essential for trend analysis"",""Required for daily reports"",""Temporal dimension for aggregation"",""Date range filtering for periods""]","[""date"",""daily"",""temporal"",""aggregation"",""reporting"",""trend"",""time"",""period"",""calendar"",""dimension""]","Provides temporal dimension for daily aggregation, trend analysis, and regulatory reporting",Activity Date,"Date field providing temporal dimension for tbl_Daily_actions data, essential for time-based analysis and reporting.","[""Field is mandatory and cannot be null"",""Must be a valid date in YYYY-MM-DD format"",""Cannot be future date beyond current business day"",""Required for daily regulatory reporting compliance""]","{""type"":""Temporal Dimension"",""relationships"":[""Links to all date-based reporting"",""Enables time-series analysis"",""Critical for trend identification""],""business_impact"":""Primary dimension for all temporal analysis and regulatory reporting""}",Internal,2025-07-02 06:15:53.2468720,0.98
1663,222,WhiteLabelID,White label brand identifier,"Enables brand-specific analytics, partner revenue attribution, and multi-brand performance comparison","1, 2, 3, 10, 25",Must reference valid white label; Cannot be null,0,1,2025-07-02 06:15:50.7888732,2025-07-02 06:15:53.2474021,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""Brand ID"",""White Label ID"",""Partner ID"",""Brand Identifier""]","[""1"",""2"",""3"",""5"",""7""]","Source: DailyActions.WhiteLabelID, Type: smallint",Direct data entry from source systems,"[""brand"",""partner"",""attribution""]",Identifier,Must reference valid white label,0.8000,0.8000,COUNT,"[""Partner Revenue"",""Brand Analytics"",""Multi-Brand""]",0,0,Brand attribution dimension enabling partner analytics and multi-brand revenue tracking,"[""Links to brand configuration"",""Relates to partner data"",""Enables multi-brand analysis"",""Connects to revenue sharing"",""Partner performance tracking""]","[""Brand"",""Partner"",""Multi-Brand"",""White Label""]","[""brand analytics"",""partner reports"",""multi-brand comparison"",""revenue attribution""]","[""Which brands perform best?"",""How do partners compare?"",""What is the revenue by brand?"",""Which partners are most profitable?""]","[""Brand"",""Partner"",""Label"",""Brand_ID"",""Partner_ID"",""White_Label"",""Brand_Identifier"",""Multi_Brand""]",Grouping dimension for brand-level analytics and partner performance,"[""Brand Performance"",""Partner Revenue"",""Multi-Brand Analysis"",""Revenue Attribution""]",0.85,"[""Use for brand filtering"",""Essential for partner analytics"",""Required for multi-brand analysis"",""Revenue attribution key"",""Partner performance tracking""]","[""brand"",""white_label"",""partner"",""multi_brand"",""revenue"",""attribution"",""brand_id"",""partner_performance""]","Enables multi-brand revenue attribution, partner performance analysis, and revenue sharing calculations",White Label Partner ID,"Brand identifier linking metrics to specific partners, enabling multi-brand revenue attribution and partner performance analysis.","[""Must reference valid white label partner"",""Required for revenue sharing calculations"",""Subject to partner agreement compliance""]","{""type"":""Brand Dimension"",""relationships"":[""Links to partner revenue attribution"",""Enables multi-brand analysis"",""Relates to partner performance metrics""],""business_impact"":""Essential for partner revenue sharing and brand performance analysis""}",Internal,2025-07-02 06:15:53.2474013,0.75
1664,222,PlayerID,Business data field for PlayerID in daily activity tracking,Provides essential business context for gambling operations and analytics,Sample data values,Standard data validation applies,0,1,2025-07-02 06:15:50.7893216,2025-07-02 06:15:53.2478928,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""PlayerID""]",[],"Source: DailyActions.PlayerID, Type: bigint",Direct data entry from source systems,[],Identifier,,0.8000,0.6000,COUNT,"[""Business Intelligence"",""Data Analytics"",""Gambling Operations"",""Performance Metrics""]",1,0,Business data element supporting gambling operations and analytics,"[""Part of business data model"",""Relates to operational processes"",""Connects to analytical framework"",""Foundation for reporting"",""Supports decision making""]","[""Business Data"",""Operational Metric"",""Gambling Platform"",""Data Analytics""]","[""business analysis"",""operational reporting"",""data exploration"",""performance monitoring""]","[""What is the data distribution?"",""How does this metric perform?"",""What are the trends?"",""Which segments perform best?""]","[""Data_Field"",""Business_Metric"",""Operational_Data"",""Analytics_Field"",""Database_Column""]",Standard analytical dimension or measure for business intelligence,"[""Business Performance"",""Operational Metrics"",""Data Analysis"",""Performance Indicators""]",0.50,"[""Use in business analysis"",""Include in reporting queries"",""Consider for aggregation"",""Relevant for gambling operations""]","[""business_data"",""operational"",""analytics"",""gambling"",""daily_metrics"",""database_field""]",Provides essential business data for gambling operations analysis and decision-making,PlayerID,Business data field for tbl_Daily_actions providing essential information for gambling operations analysis and decision-making.,[],{},Internal,2025-07-02 06:15:53.2478920,0.60
1665,222,Registration,Number of new player registrations,Provides essential business context for gambling operations and analytics,"0, 1, 2, 5, 10",Standard data validation applies,0,1,2025-07-02 06:15:50.7896900,2025-07-02 06:15:53.2483499,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""New Registrations"",""Player Signups"",""Account Creations""]","[""45"",""67"",""23"",""89"",""156""]","Source: DailyActions.Registration, Type: tinyint",Direct data entry from source systems,"[""acquisition"",""player"",""growth""]",Count,,0.8000,0.7500,SUM,"[""CAC"",""Player Acquisition"",""Growth""]",0,0,Business data element supporting gambling operations and analytics,"[""Top of conversion funnel"",""Links to acquisition channels"",""Connects to FTD analysis"",""Foundation for growth metrics"",""Player lifecycle start""]","[""Acquisition"",""Signup"",""Onboarding""]","[""acquisition reports"",""growth analysis"",""signup trends"",""funnel analysis""]","[""How many new players joined?"",""What are acquisition trends?"",""Which channels drive most signups?"",""What is the registration conversion rate?""]","[""Signup"",""New_Player"",""Acquisition"",""Onboarding"",""Account_Creation"",""Player_Registration"",""New_Account"",""Join""]","Growth metric for acquisition analysis, counted for new player volumes","[""New Players"",""Acquisition Rate"",""Growth"",""Signup Conversion"",""Daily Registrations""]",0.80,"[""Use for acquisition analysis"",""Essential for growth tracking"",""Key for funnel analysis"",""Top of conversion funnel"",""Marketing effectiveness measure""]","[""registration"",""signup"",""acquisition"",""new_players"",""onboarding"",""growth"",""conversion_funnel"",""marketing""]","Measures player acquisition for growth tracking, funnel analysis, and marketing effectiveness assessment",New Player Registrations,"Count of new player account registrations, representing the top of the conversion funnel and primary acquisition metric for growth tracking.","[""Must be non-negative integer"",""Subject to GDPR data retention policies"",""Required for player acquisition reporting""]","{""type"":""Acquisition Metric"",""relationships"":[""Top of conversion funnel"",""Links to FTD for conversion analysis"",""Relates to CAC calculations""],""business_impact"":""Foundation metric for all acquisition and growth analysis""}",Internal,2025-07-02 06:15:53.2483492,0.80
1666,222,FTD,First Time Deposit count,Provides essential business context for gambling operations and analytics,"0, 1, 2, 3, 8",Standard data validation applies,0,1,2025-07-02 06:15:50.7900894,2025-07-02 06:15:53.2488526,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""First Deposits"",""New Player Deposits"",""Initial Deposits""]","[""12"",""18"",""8"",""25"",""34""]","Source: DailyActions.FTD, Type: tinyint",Direct data entry from source systems,[],Count,,0.8000,0.7500,SUM,"[""LTV"",""Player Value"",""Conversion""]",0,0,Business data element supporting gambling operations and analytics,"[""Conversion from registration"",""Links to player value"",""Connects to LTV calculations"",""Foundation for monetization"",""Activation milestone""]","[""Conversion"",""First Deposit"",""Activation""]","[""conversion analysis"",""monetization reports"",""activation tracking"",""LTV calculation""]","[""How many players made their first deposit?"",""What is the registration to FTD conversion rate?"",""Which acquisition channels drive the most FTDs?"",""What are FTD trends over time?""]","[""First_Deposit"",""Conversion"",""Activation"",""Monetization"",""First_Time_Deposit"",""Player_Conversion"",""Initial_Deposit"",""FTD""]",Standard analytical dimension or measure for business intelligence,"[""Conversion Rate"",""First Deposit Value"",""Activation Rate"",""Monetization"",""FTD Conversion""]",0.80,"[""Use for conversion rate calculations"",""Essential for monetization analysis"",""Key for player value assessment"",""Critical activation metric"",""LTV foundation metric""]","[""ftd"",""first_deposit"",""conversion"",""activation"",""monetization"",""player_value"",""ltv"",""first_time_deposit""]",Tracks player conversion from free to paying customer for LTV analysis and monetization optimization,First Time Deposits,"Count of players making their first deposit, representing the critical conversion from free to paying player and essential for LTV calculations.","[""Must be non-negative integer"",""Cannot exceed registration count for same date"",""Critical for conversion rate compliance monitoring""]","{""type"":""Conversion Metric"",""relationships"":[""Links to registration for conversion rates"",""Contributes to LTV calculations"",""Relates to player value analysis""],""business_impact"":""Critical conversion metric for player monetization analysis""}",Internal,2025-07-02 06:15:53.2488519,0.85
1667,222,FTDA,Business data field for FTDA in daily activity tracking,Provides essential business context for gambling operations and analytics,Sample data values,Standard data validation applies,0,1,2025-07-02 06:15:50.7904485,2025-07-02 06:15:53.2493072,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""FTDA""]",[],"Source: DailyActions.FTDA, Type: tinyint",Direct data entry from source systems,[],Count,,0.8000,0.6000,COUNT,"[""Business Intelligence"",""Data Analytics"",""Gambling Operations"",""Performance Metrics""]",0,0,Business data element supporting gambling operations and analytics,"[""Part of business data model"",""Relates to operational processes"",""Connects to analytical framework"",""Foundation for reporting"",""Supports decision making""]","[""Business Data"",""Operational Metric"",""Gambling Platform"",""Data Analytics""]","[""business analysis"",""operational reporting"",""data exploration"",""performance monitoring""]","[""What is the data distribution?"",""How does this metric perform?"",""What are the trends?"",""Which segments perform best?""]","[""Data_Field"",""Business_Metric"",""Operational_Data"",""Analytics_Field"",""Database_Column""]",Standard analytical dimension or measure for business intelligence,"[""Business Performance"",""Operational Metrics"",""Data Analysis"",""Performance Indicators""]",0.50,"[""Use in business analysis"",""Include in reporting queries"",""Consider for aggregation"",""Relevant for gambling operations""]","[""business_data"",""operational"",""analytics"",""gambling"",""daily_metrics"",""database_field""]",Provides essential business data for gambling operations analysis and decision-making,FTDA,Business data field for tbl_Daily_actions providing essential information for gambling operations analysis and decision-making.,[],{},Internal,2025-07-02 06:15:53.2493064,0.60
1668,222,Deposits,Total deposit amount for the date,"Core financial metric for revenue analysis, player spending patterns, and business performance","0.00, 25.50, 100.00, 500.75, 1250.00",Standard data validation applies,0,1,2025-07-02 06:15:50.7908502,2025-07-02 06:15:53.2498602,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""Deposit Amount"",""Daily Deposits"",""Player Deposits"",""Revenue Inflow""]","[""1250.50"",""890.00"",""2100.75"",""450.25""]","Source: DailyActions.Deposits, Type: money",Direct data entry from source systems,"[""financial"",""revenue"",""transaction""]",Money,Must be >= 0,0.8000,0.9000,SUM,"[""GGR"",""NGR"",""Revenue"",""Player Spending""]",0,0,Financial metric representing player spending and revenue generation,"[""Relates to player transactions"",""Links to payment methods"",""Connects to GGR calculations"",""Foundation for LTV analysis"",""Revenue attribution""]","[""GGR"",""NGR"",""Revenue"",""Turnover""]","[""revenue analysis"",""player spending"",""financial reports"",""deposit trends""]","[""How much revenue was generated?"",""What are player spending patterns?"",""Which deposit methods are most popular?"",""What are the deposit trends?""]","[""Revenue"",""Income"",""Money_In"",""Funding"",""Player_Spending"",""Financial_Inflow"",""Deposits"",""Payment"",""Cash_In""]","Key financial metric for revenue analysis, aggregated by SUM for totals","[""Total Revenue"",""Average Deposit"",""Deposit Count"",""Revenue Growth"",""Deposit Frequency""]",0.90,"[""Use for revenue calculations"",""Essential for financial analysis"",""Key for player spending analysis"",""Critical for GGR computation"",""Foundation for LTV calculations""]","[""deposits"",""revenue"",""financial"",""inflow"",""player_spending"",""daily"",""gambling"",""money"",""payment"",""funding"",""cash_in"",""ggr""]","Tracks player financial activity for revenue analysis, compliance monitoring, and business intelligence",Deposit Amount,"Financial metric representing deposit activity in the gambling platform, critical for revenue analysis and player spending behavior assessment.","[""Must be non-negative value (\u003E= 0)"",""Subject to anti-money laundering monitoring thresholds"",""Required for GGR/NGR regulatory calculations""]","{""type"":""Financial Metric"",""relationships"":[""Contributes to GGR calculations"",""Links to player lifecycle analysis"",""Relates to LTV calculations""],""business_impact"":""Core revenue metric affecting all financial KPIs""}",Confidential,2025-07-02 06:15:53.2498597,0.90
1669,222,DepositsCreditCard,Business data field for DepositsCreditCard in daily activity tracking,Provides essential business context for gambling operations and analytics,Sample data values,Standard data validation applies,0,1,2025-07-02 06:15:50.7912190,2025-07-02 06:15:53.2504481,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""DepositsCreditCard""]","[""1250.50"",""890.00"",""2100.75"",""450.25""]","Source: DailyActions.DepositsCreditCard, Type: money",Direct data entry from source systems,"[""financial"",""revenue"",""transaction""]",Money,Must be >= 0,0.8000,0.9000,SUM,"[""GGR"",""NGR"",""Revenue"",""Player Spending""]",0,0,Financial metric representing player spending and revenue generation,"[""Relates to player transactions"",""Links to payment methods"",""Connects to GGR calculations"",""Foundation for LTV analysis"",""Revenue attribution""]","[""GGR"",""NGR"",""Revenue"",""Turnover""]","[""revenue analysis"",""player spending"",""financial reports"",""deposit trends""]","[""How much revenue was generated?"",""What are player spending patterns?"",""Which deposit methods are most popular?"",""What are the deposit trends?""]","[""Revenue"",""Income"",""Money_In"",""Funding"",""Player_Spending"",""Financial_Inflow"",""Deposits"",""Payment"",""Cash_In""]","Key financial metric for revenue analysis, aggregated by SUM for totals","[""Total Revenue"",""Average Deposit"",""Deposit Count"",""Revenue Growth"",""Deposit Frequency""]",0.90,"[""Use for revenue calculations"",""Essential for financial analysis"",""Key for player spending analysis"",""Critical for GGR computation"",""Foundation for LTV calculations""]","[""deposits"",""revenue"",""financial"",""inflow"",""player_spending"",""daily"",""gambling"",""money"",""payment"",""funding"",""cash_in"",""ggr""]","Tracks player financial activity for revenue analysis, compliance monitoring, and business intelligence",Deposit Amount,"Financial metric representing deposit activity in the gambling platform, critical for revenue analysis and player spending behavior assessment.","[""Must be non-negative value (\u003E= 0)"",""Subject to anti-money laundering monitoring thresholds"",""Required for GGR/NGR regulatory calculations""]","{""type"":""Financial Metric"",""relationships"":[""Contributes to GGR calculations"",""Links to player lifecycle analysis"",""Relates to LTV calculations""],""business_impact"":""Core revenue metric affecting all financial KPIs""}",Confidential,2025-07-02 06:15:53.2504476,0.90
1670,222,DepositsNeteller,Business data field for DepositsNeteller in daily activity tracking,Provides essential business context for gambling operations and analytics,Sample data values,Standard data validation applies,0,1,2025-07-02 06:15:50.7917774,2025-07-02 06:15:53.2513249,Comprehensive Metadata Generator,Comprehensive Metadata Generator,"[""DepositsNeteller""]","[""1250.50"",""890.00"",""2100.75"",""450.25""]","Source: DailyActions.DepositsNeteller, Type: money",Direct data entry from source systems,"[""financial"",""revenue"",""transaction""]",Money,Must be >= 0,0.8000,0.9000,SUM,"[""GGR"",""NGR"",""Revenue"",""Player Spending""]",0,0,Financial metric representing player spending and revenue generation,"[""Relates to player transactions"",""Links to payment methods"",""Connects to GGR calculations"",""Foundation for LTV analysis"",""Revenue attribution""]","[""GGR"",""NGR"",""Revenue"",""Turnover""]","[""revenue analysis"",""player spending"",""financial reports"",""deposit trends""]","[""How much revenue was generated?"",""What are player spending patterns?"",""Which deposit methods are most popular?"",""What are the deposit trends?""]","[""Revenue"",""Income"",""Money_In"",""Funding"",""Player_Spending"",""Financial_Inflow"",""Deposits"",""Payment"",""Cash_In""]","Key financial metric for revenue analysis, aggregated by SUM for totals","[""Total Revenue"",""Average Deposit"",""Deposit Count"",""Revenue Growth"",""Deposit Frequency""]",0.90,"[""Use for revenue calculations"",""Essential for financial analysis"",""Key for player spending analysis"",""Critical for GGR computation"",""Foundation for LTV calculations""]","[""deposits"",""revenue"",""financial"",""inflow"",""player_spending"",""daily"",""gambling"",""money"",""payment"",""funding"",""cash_in"",""ggr""]","Tracks player financial activity for revenue analysis, compliance monitoring, and business intelligence",Deposit Amount,"Financial metric representing deposit activity in the gambling platform, critical for revenue analysis and player spending behavior assessment.","[""Must be non-negative value (\u003E= 0)"",""Subject to anti-money laundering monitoring thresholds"",""Required for GGR/NGR regulatory calculations""]","{""type"":""Financial Metric"",""relationships"":[""Contributes to GGR calculations"",""Links to player lifecycle analysis"",""Relates to LTV calculations""],""business_impact"":""Core revenue metric affecting all financial KPIs""}",Confidential,2025-07-02 06:15:53.2513245,0.90
