Id,TableName,SchemaName,BusinessPurpose,BusinessContext,PrimaryUseCase,CommonQueryPatterns,BusinessRules,IsActive,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,DomainClassification,NaturalLanguageAliases,UsagePatterns,DataQualityIndicators,RelationshipSemantics,ImportanceScore,UsageFrequency,LastAnalyzed,BusinessOwner,DataGovernancePolicies,SemanticDescription,BusinessProcesses,AnalyticalUseCases,ReportingCategories,SemanticRelationships,QueryComplexityHints,BusinessGlossaryTerms,SemanticCoverageScore,LLMContextHints,VectorSearchKeywords,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,RelationshipContext,DataGovernanceLevel,LastBusinessReview
218,tbl_Bonus_balances,common,To track and manage the bonus balances of players on the online gambling platform.,General - Operational Data,"Used for managing and tracking the bonus balances of players, and for calculating bonus-related metrics.",[],"[""Bonuses must be used within a certain timeframe"",""Certain games may have specific bonus rules"",""Bonuses cannot be withdrawn as cash""]",1,2025-07-02 06:15:50.2382166,2025-07-02 07:13:50.7248564,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Financial Operations,"[""Bonus Balances"",""Player Bonuses"",""Bonus Details""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 07:13:50.7248683,Player Relations Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the bonus balances of each player in the online gambling platform, including bonus type, amount, and status.","[""Player account management"",""Bonus distribution"",""Revenue calculation""]","[""Bonus distribution analysis"",""Player bonus usage analysis"",""Bonus-related revenue analysis""]","[""Player Activity Reports"",""Bonus Distribution Reports"",""Revenue Reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Bonus"",""Wagering Requirement"",""Player Account"",""Bonus Expiry""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Bonus"",""Player"",""Balance"",""Online Gambling""]","[""Bonus"",""Wagering Requirement"",""Player Account"",""Bonus Expiry""]",Player Bonus Balances,"This table contains detailed information about the bonus balances of each player, including the type of bonus, the amount of bonus, and the status of the bonus.","This table is related to the player accounts table (for player details), transactions table (for bonus transactions), and the games table (for game-related bonuses).",Confidential,2025-07-02 07:13:50.7248168
219,tbl_Bonuses,common,To track and manage all bonuses awarded to players on the platform.,General - Operational Data,Monitoring and managing player bonuses to optimize player retention and engagement.,[],"[""Bonuses must be linked to a player account"",""Bonuses must have a status (e.g., \u0027awarded\u0027, \u0027redeemed\u0027, \u0027expired\u0027)"",""Bonus amounts must be positive""]",1,2025-07-02 06:15:50.2601362,2025-07-02 07:14:08.4767212,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Financial Operations,"[""Bonus Ledger"",""Player Bonus Records"",""Bonus Distribution""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 07:14:08.4767214,Player Retention Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the bonuses awarded to players, including type, amount, and status of each bonus.","[""Player account management"",""Player engagement reporting"",""Financial auditing""]","[""Player retention analysis"",""Bonus effectiveness analysis"",""Player lifetime value calculation""]","[""Player engagement reports"",""Financial audits"",""Player retention reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Player"",""Bonus"",""Player Lifetime Value"",""Player Retention"",""Player Engagement""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Bonus"",""Player"",""Retention"",""Engagement"",""Lifetime value""]","[""Player"",""Bonus"",""Player Lifetime Value"",""Player Retention"",""Player Engagement""]",Player Bonuses,"This table contains detailed information about all bonuses awarded to players, including the type of bonus, the amount, the date it was awarded, and its current status.",This table is linked to the player accounts table (by player ID) and the transactions table (by transaction ID). It is used in calculating player lifetime value and in generating player engagement reports.,Confidential,2025-07-02 07:14:08.4767193
220,tbl_Countries,common,To manage and track the countries and geographic locations from which users and depositors are accessing the online gambling platform.,General - Operational Data,Identifying user demographics and regional preferences for targeted marketing and compliance.,[],"[""Country data must be updated regularly"",""Data must comply with GDPR and other regional privacy laws"",""Data must be anonymized for analysis""]",1,2025-07-02 06:15:50.2608634,2025-07-03 09:30:34.0266667,Enhanced Metadata Generation System,Semantic Enhancement Fix,General Operations,"[""User Locations"",""Country Data"",""Geographic Data"",""User Countries"",""Customer Locations"",""Player Geography""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:43:53.3131522,Marketing Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}",This table represents the geographical data of users in the online gambling domain.,"[""User registration"",""Transaction processing"",""Compliance reporting""]","[""Demographic analysis"",""Regional marketing strategies"",""Compliance reporting""]","[""Demographic reports"",""Marketing reports"",""Compliance reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Countries"",""Geography"",""Locations"",""Regions"",""Users"",""Customers"",""Players"",""Demographics"",""Jurisdictions""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Countries"",""Geography"",""Locations"",""UK"",""US"",""Europe"",""Regions"",""Users"",""Customers"",""Players"",""Demographics"",""Jurisdictions""]","[""User"",""Transaction"",""GDPR"",""Compliance"",""Marketing""]",User Geographical Data,This table contains information about the countries from which users are accessing our online gambling platform.,"This table relates to user profiles, transactions, and game preferences, providing geographical context to these entities.",Confidential,2025-07-02 06:43:53.3131495
221,tbl_Currencies,common,To manage and track all the different currencies used in the online gambling platform.,General - Operational Data,Currency management for player transactions and conversions.,[],"[""All currencies must have a valid conversion rate"",""Currencies must be updated regularly for accurate conversions"",""Inactive currencies must be flagged""]",1,2025-07-02 06:15:50.2613951,2025-07-02 06:44:08.9973950,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,General Operations,"[""Currency Table"",""Currency Conversion"",""Currency Tracker""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:44:08.9973954,Finance Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}",This table represents the various currencies accepted and used within the online gambling platform.,"[""Player account management"",""Transaction processing"",""Financial reporting""]","[""Currency conversion rate analysis"",""Transaction volume by currency"",""Currency risk assessment""]","[""Financial reports"",""Transaction reports"",""Risk assessment reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""GGR"",""NGR"",""Player"",""Transaction"",""Exchange Rate""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Currency"",""Conversion"",""Exchange Rate"",""Transaction"",""Finance""]","[""GGR"",""NGR"",""Player"",""Transaction"",""Exchange Rate""]",Currency Management,"This table contains all the different types of currencies that are accepted on our platform, along with their conversion rates.","This table is linked to player accounts and transactions, enabling currency conversions and tracking of currency-based transactions.",Internal,2025-07-02 06:44:08.9973936
222,tbl_Daily_actions,common,"To track and analyze all daily player activities including deposits, withdrawals, bets, and gaming transactions across the online gambling platform.",Event Tracking - Operational Data,"Used for analyzing player behavior, calculating Gross Gaming Revenue (GGR), and Net Gaming Revenue (NGR), and identifying trends and patterns.","[""Revenue reporting and GGR calculations"",""Regulatory compliance reporting"",""Real-time operational monitoring"",""Fraud detection and analysis"",""Player behavior pattern analysis""]","[""All player actions must be logged"",""Each row represents one player\u0027s actions for one day"",""Financial transactions must be linked to the financial transactions table""]",1,2025-07-02 06:15:50.2617593,2025-07-03 09:30:34.0266667,Enhanced Metadata Generation System,Semantic Enhancement Fix,Financial Operations,"[""Player Daily Activity Log"",""Daily Player Actions"",""Player Engagement Data"",""Daily Transactions"",""Player Deposits"",""Customer Activity""]","{""PrimaryAccess"":""Real-time analytics and reporting"",""QueryFrequency"":""High"",""DataVolume"":""Large"",""UpdateFrequency"":""Daily"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""Players"",""Games"",""Countries"",""WhiteLabels""],""RelationshipTypes"":[""One-to-Many"",""Many-to-One""],""BusinessMeaning"":""Central fact table connecting all gambling activities""}",0.9500,0.8000,2025-07-02 06:44:27.6953479,Data Analytics Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""7 years"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents a comprehensive record of all player actions on a daily basis, including bets placed, games played, deposits, and withdrawals.","[""Daily revenue reporting"",""Player behavior analysis"",""Compliance reporting""]","[""Player behavior analysis"",""Revenue calculation"",""Trend identification""]","[""Daily revenue reports"",""Player behavior reports"",""Compliance reports""]","{""CoreEntity"":true,""RelatedEntities"":[""Players"",""Games"",""Countries"",""WhiteLabels"",""Currencies""],""RelationshipStrength"":""Strong"",""BusinessImpact"":""High""}","[""Use date partitioning for large queries"",""Index on Date and WhiteLabelID for performance"",""Consider aggregation for reporting queries"",""Use appropriate date ranges to limit data volume""]","[""Player Activity"",""Daily Actions"",""Deposits"",""Withdrawals"",""Gaming Revenue"",""Player Engagement"",""Customer Transactions"",""Financial Activity""]",0.90,"[""Central gambling metrics table with daily aggregated data"",""Contains financial and gaming activity for all players"",""Key table for revenue reporting and player analytics"",""Links to players, games, countries, and brands""]","[""Player"",""Daily"",""Activity"",""Deposits"",""Depositors"",""Withdrawals"",""Transactions"",""Gaming"",""Revenue"",""Engagement"",""Customers"",""Users"",""Financial""]","[""GGR"",""NGR"",""Player"",""Transaction"",""Bet"",""Deposit"",""Withdrawal""]",Daily Player Actions,"This table contains detailed information about each player's actions on the platform for each day, including the games they played, the bets they placed, and any financial transactions they made.",This table is linked to the player profile table via the player ID and to the game table via the game ID. It is also related to the financial transactions table via transaction IDs.,Confidential,2025-07-02 06:44:27.6953470
223,tbl_Daily_actions_games,common,To track and analyze daily player actions and game performance for strategic decision making.,Gaming Analytics - Product Performance,"Used primarily for analyzing player behavior, game popularity, and profitability.","[""Game performance and popularity analysis"",""RTP monitoring and compliance reporting"",""Player game preference analysis"",""Game recommendation engine data"",""Provider performance evaluation""]","[""All player actions must be logged"",""Game performance metrics must be updated daily"",""All data must be anonymized to protect player privacy""]",1,2025-07-02 06:15:50.2620208,2025-07-02 06:44:45.1353112,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Financial Operations,"[""Player Activity Log"",""Game Performance Metrics"",""Daily Gaming Actions""]","{""PrimaryAccess"":""Real-time analytics and reporting"",""QueryFrequency"":""High"",""DataVolume"":""Large"",""UpdateFrequency"":""Daily"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""Players"",""Games"",""Countries"",""WhiteLabels""],""RelationshipTypes"":[""One-to-Many"",""Many-to-One""],""BusinessMeaning"":""Central fact table connecting all gambling activities""}",0.9500,0.8000,2025-07-02 06:44:45.1353118,Gaming Operations Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""7 years"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents a comprehensive record of all daily actions taken by players on various games, including bets placed, wins, losses, and game-specific actions.","[""Daily gaming operations"",""Monthly performance reporting"",""Annual strategic planning""]","[""Player behavior analysis"",""Game popularity ranking"",""Profitability analysis""]","[""Daily Operations Report"",""Monthly Performance Report"",""Annual Strategic Report""]","{""CoreEntity"":true,""RelatedEntities"":[""Players"",""Games"",""Countries"",""WhiteLabels"",""Currencies""],""RelationshipStrength"":""Strong"",""BusinessImpact"":""High""}","[""Use date partitioning for large queries"",""Index on Date and WhiteLabelID for performance"",""Consider aggregation for reporting queries"",""Use appropriate date ranges to limit data volume""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Player Profile"",""Game Catalog"",""Financial Transactions""]",0.90,"[""Central gambling metrics table with daily aggregated data"",""Contains financial and gaming activity for all players"",""Key table for revenue reporting and player analytics"",""Links to players, games, countries, and brands""]","[""Player actions"",""Game performance"",""Daily metrics"",""Gaming behavior"",""Profitability""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Player Profile"",""Game Catalog"",""Financial Transactions""]",Daily Player Actions and Game Performance,"This table contains detailed records of every action taken by players on our platform each day, along with performance metrics for each game.","This table relates to player profiles, game catalog, and financial transactions, providing a link between player behavior, game performance, and revenue generation.",Confidential,2025-07-02 06:44:45.1353088
224,tbl_Daily_actions_players,common,"To track and analyze daily player activities including deposits, withdrawals, and gaming behavior for lifetime value calculation, churn prediction, and personalized marketing.",Player Analytics - Customer Behavior and Financial Activity,"Used for calculating player lifetime value, predicting churn rate, analyzing depositor behavior, and tracking customer financial activity.","[""Player lifetime value calculations"",""Daily/monthly active user reports"",""Player segmentation analysis"",""Churn prediction modeling"",""Retention cohort analysis""]","[""Each row represents a unique player\u0027s actions for a specific day"",""All monetary values are in USD"",""Withdrawals are recorded as negative values""]",1,2025-07-02 06:15:50.2624759,2025-07-03 09:30:34.0266667,Enhanced Metadata Generation System,Semantic Enhancement Fix,Financial Operations,"[""Player Activity Log"",""Daily Player Actions"",""Player Engagement Data"",""Customer Activity"",""Depositor Analytics"",""Player Financial Data""]","{""PrimaryAccess"":""Real-time analytics and reporting"",""QueryFrequency"":""High"",""DataVolume"":""Large"",""UpdateFrequency"":""Daily"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""Players"",""Games"",""Countries"",""WhiteLabels""],""RelationshipTypes"":[""One-to-Many"",""Many-to-One""],""BusinessMeaning"":""Central fact table connecting all gambling activities""}",0.9500,0.8000,2025-07-02 06:45:00.3195860,Marketing Analytics Team,"{""DataClassification"":""Confidential"",""RetentionPeriod"":""7 years"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents daily actions taken by players on the online gambling platform, including bets placed, games played, deposits, and withdrawals.","[""Daily Reporting"",""Monthly Player Engagement Analysis"",""Quarterly Business Review""]","[""Player Lifetime Value Calculation"",""Churn Prediction"",""Personalized Marketing Campaigns""]","[""Daily Player Engagement Report"",""Monthly Churn Rate Report"",""Quarterly Business Review""]","{""CoreEntity"":true,""RelatedEntities"":[""Players"",""Games"",""Countries"",""WhiteLabels"",""Currencies""],""RelationshipStrength"":""Strong"",""BusinessImpact"":""High""}","[""Use date partitioning for large queries"",""Index on Date and WhiteLabelID for performance"",""Consider aggregation for reporting queries"",""Use appropriate date ranges to limit data volume""]","[""Player Activity"",""Customer Behavior"",""Depositors"",""Deposits"",""Withdrawals"",""Player Lifetime Value"",""Churn Prediction"",""Customer Analytics"",""Financial Activity""]",0.90,"[""Central gambling metrics table with daily aggregated data"",""Contains financial and gaming activity for all players"",""Key table for revenue reporting and player analytics"",""Links to players, games, countries, and brands""]","[""Player"",""Customer"",""Depositor"",""Daily"",""Activity"",""Deposits"",""Withdrawals"",""Lifetime Value"",""Churn"",""Analytics"",""Financial"",""Behavior"",""Engagement""]","[""Gross Gaming Revenue"",""Net Gaming Revenue"",""Player Profile"",""Transaction"",""Churn Rate""]",Daily Player Activity Log,"This table contains detailed records of each player's daily activities on our platform, such as the games they play, the bets they place, and their deposit and withdrawal transactions.",This table is linked to the player profile table via the player ID and to the games table via the game ID. It also relates to the transactions table through transaction IDs.,Confidential,2025-07-02 06:45:00.3195835
225,tbl_Daily_actionsGBP_transactions,common,To track and analyze daily GBP transactions on the gambling platform.,General - Operational Data,"Used for daily financial tracking, reporting, and analysis of GBP transactions.",[],"[""All transactions must be in GBP"",""Transactions must be linked to a valid player account"",""Bets must be linked to a valid game""]",1,2025-07-02 06:15:50.2631530,2025-07-02 06:45:16.4564550,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,General Operations,"[""Daily Pound Transactions"",""GBP Daily Transactions"",""Daily Financials in GBP""]","{""PrimaryAccess"":""Real-time analytics and reporting"",""QueryFrequency"":""High"",""DataVolume"":""Large"",""UpdateFrequency"":""Daily"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""Players"",""Games"",""Countries"",""WhiteLabels""],""RelationshipTypes"":[""One-to-Many"",""Many-to-One""],""BusinessMeaning"":""Central fact table connecting all gambling activities""}",0.8000,0.8000,2025-07-02 06:45:16.4564554,Finance Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""7 years"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents daily transactions in GBP on the online gambling platform, including deposits, withdrawals, and bets.","[""Daily financial reporting"",""Revenue reconciliation"",""Player account management""]","[""Daily financial reporting"",""Player spending analysis"",""Revenue forecasting""]","[""Daily financial reports"",""Player spending reports"",""Revenue forecasts""]","{""CoreEntity"":true,""RelatedEntities"":[""Players"",""Games"",""Countries"",""WhiteLabels"",""Currencies""],""RelationshipStrength"":""Strong"",""BusinessImpact"":""High""}","[""Use date partitioning for large queries"",""Index on Date and WhiteLabelID for performance"",""Consider aggregation for reporting queries"",""Use appropriate date ranges to limit data volume""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Player"",""Transaction"",""Bet""]",0.90,"[""Central gambling metrics table with daily aggregated data"",""Contains financial and gaming activity for all players"",""Key table for revenue reporting and player analytics"",""Links to players, games, countries, and brands""]","[""GBP"",""Transactions"",""Daily"",""Finance"",""Gambling""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Player"",""Transaction"",""Bet""]",Daily GBP Transactions,"This table contains detailed records of all daily transactions in GBP, including player deposits, withdrawals, and bets.",This table is linked to the player accounts table for transaction details and to the games table for bet details.,Confidential,2025-07-02 06:45:16.4564528
226,tbl_Interactions_checks,common,To monitor and analyze user interactions and checks within the online gambling platform.,General - Operational Data,"Used for tracking user behavior, identifying trends, and ensuring compliance with gambling regulations.",[],"[""All user interactions must be logged"",""Checks must be performed for certain interactions"",""Data must be retained for a specified period""]",1,2025-07-02 06:15:50.2634932,2025-07-02 06:45:32.2245819,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Regulatory Compliance,"[""User Activity Log"",""Compliance Checks"",""Interaction Records""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:45:32.2245822,User Experience Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the record of all user interactions and checks within the gambling platform, including actions, timestamps, and outcomes.","[""User behavior tracking"",""Compliance monitoring"",""Trend analysis""]","[""User behavior analysis"",""Compliance reporting"",""Trend identification""]","[""User behavior reports"",""Compliance reports"",""Trend reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""User"",""Interaction"",""Check"",""Compliance"",""Gambling""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""User interaction"",""Compliance check"",""Behavior log""]","[""User"",""Interaction"",""Check"",""Compliance"",""Gambling""]",User Interaction and Checks,"This table contains detailed records of all user interactions and checks within the platform, including the type of interaction, time, user details, and the result of any checks performed.","This table is related to the user profile, transaction, and game play tables, providing a comprehensive view of user behavior and checks within the platform.",Confidential,2025-07-02 06:45:32.2245809
227,tbl_Interactions_ScoreChecks,common,To monitor and analyze player interactions and score checks within the online gambling platform.,General - Operational Data,"Used for tracking player behavior, identifying patterns, and improving user experience.",[],"[""All interactions must be linked to a valid player ID"",""Score checks must be linked to a valid game ID"",""Timestamps must be recorded for each interaction""]",1,2025-07-02 06:15:50.2638325,2025-07-02 06:45:46.9913325,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Regulatory Compliance,"[""Player Interaction Logs"",""Score Check Records"",""Player Behavior Data""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:45:46.9913326,Player Experience Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}",This table represents the log of player interactions and score checks in the context of online gambling.,"[""Player experience management"",""Fraud detection process"",""User behavior analytics""]","[""Player behavior analysis"",""User experience improvement"",""Fraud detection""]","[""Player behavior reports"",""User experience reports"",""Fraud detection reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Player"",""Interaction"",""Score Check"",""Game ID"",""Player ID""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Player interaction"",""Score check"",""Player behavior"",""User experience""]","[""Player"",""Interaction"",""Score Check"",""Game ID"",""Player ID""]",Player Interactions and Score Checks,"This table contains detailed records of each player's interactions and score checks within the platform, including timestamps, player IDs, and interaction types.",This table is linked to the player profile table via player ID and to the game table via game ID. It is also used in conjunction with the transaction table to analyze player behavior.,Confidential,2025-07-02 06:45:46.9913316
