Id,DomainName,Description,RelatedTables,KeyConcepts,CommonQueries,BusinessOwner,RelatedDomains,ImportanceScore,IsActive,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,BusinessPurpose,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,BusinessRules,RelationshipContext,DataGovernanceLevel,LastBusinessReview,UsageFrequency
46,Player Management,"Comprehensive player lifecycle management including registration, activity tracking, engagement metrics, and behavioral analysis. Core to understanding customer value and retention patterns.","[""tbl_Daily_actions_players"",""tbl_Countries"",""tbl_White_labels""]","[""Player Lifetime Value (LTV)"",""Daily Active Users (DAU)"",""Customer Acquisition Cost (CAC)"",""Average Revenue Per User (ARPU)""]","[""Player Registration"",""KYC Verification"",""Player Segmentation"",""Retention Analysis"",""Churn Prediction""]",Business Intelligence Team,"[""Customer Operations""]",0.9500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.0845360,Enhanced Metadata Generation System,2025-07-02 06:43:01.0845444,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
47,Financial Operations,"Multi-currency transaction processing, wallet management, payment methods, and financial compliance. Handles deposits, withdrawals, bonuses, and real-time balance management across global markets.","[""tbl_Daily_actionsGBP_transactions"",""tbl_Currencies"",""tbl_Daily_actions""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Transaction Volume"",""Payment Success Rate""]","[""Deposit Processing"",""Withdrawal Management"",""Currency Conversion"",""Financial Reporting"",""Tax Compliance""]",Business Intelligence Team,"[""Financial Services""]",0.9500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.1244193,Enhanced Metadata Generation System,2025-07-02 06:43:01.1244195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
48,Gaming Activity,"Real-time tracking of all gaming sessions, individual game rounds, bet placement, and outcome recording. Essential for revenue calculation, game performance analysis, and player engagement measurement.","[""tbl_Daily_actions_games"",""Games"",""tbl_Daily_actions""]","[""Return to Player (RTP)"",""House Edge"",""Game Session Duration"",""Rounds Played"",""Game Revenue""]","[""Game Session Tracking"",""RTP Monitoring"",""Game Performance Analysis"",""Player Preference Analysis""]",Business Intelligence Team,"[""Product Operations""]",0.9500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.1260577,Enhanced Metadata Generation System,2025-07-02 06:43:01.1260578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
49,Sports Betting,"Sports event management, betting market creation, odds management, and bet settlement. Handles pre-match and live betting across multiple sports and markets.","[""SportBets_Events"",""SportBets_Markets"",""SportBets_Bets""]","[""Betting Margin"",""Settlement Accuracy"",""Live Betting Volume"",""Market Liquidity""]","[""Event Management"",""Odds Calculation"",""Bet Settlement"",""Risk Management"",""Market Creation""]",Business Intelligence Team,"[""Product Operations""]",0.9500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.1264690,Enhanced Metadata Generation System,2025-07-02 06:43:01.1264691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
50,Brand Management,"White label and multi-brand operations supporting different casino brands under single platform. Manages brand-specific configurations, themes, and market positioning.","[""tbl_White_labels"",""tbl_Countries""]","[""Brand Performance"",""Market Share"",""Brand Revenue Attribution""]","[""Brand Configuration"",""Market Localization"",""Brand Performance Tracking""]",Business Intelligence Team,"[""Business Operations""]",0.7500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.1268642,Enhanced Metadata Generation System,2025-07-02 06:43:01.1268643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
51,Regulatory Compliance,"Jurisdictional compliance tracking, audit trails, responsible gaming measures, and regulatory reporting. Critical for maintaining gaming licenses and meeting compliance obligations.","[""tbl_Countries"",""tbl_Daily_actions"",""tbl_Daily_actions_players""]","[""Compliance Score"",""Audit Trail Completeness"",""Responsible Gaming Metrics""]","[""Regulatory Reporting"",""Audit Trail Management"",""Responsible Gaming Monitoring"",""License Compliance""]",Business Intelligence Team,"[""Risk \u0026 Compliance""]",0.7500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.1274345,Enhanced Metadata Generation System,2025-07-02 06:43:01.1274346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
52,Reference Data,"Master data management for countries, currencies, game catalogs, and platform configuration. Provides foundational data supporting all business operations.","[""tbl_Countries"",""tbl_Currencies"",""Games"",""tbl_White_labels""]","[""Data Quality Score"",""Reference Data Completeness""]","[""Master Data Management"",""Data Quality Monitoring"",""Configuration Management""]",Business Intelligence Team,"[""Data Management""]",0.7500,1,Enhanced Metadata Generation System,2025-07-02 06:43:01.1277062,Enhanced Metadata Generation System,2025-07-02 06:43:01.1277063,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
53,Compliance & Regulation,"Regulatory compliance, responsible gambling, KYC/AML processes, and audit trails",,"[""KYC Verification"",""AML Monitoring"",""Responsible Gambling"",""Regulatory Reporting""]",,,,0.9000,1,Unified Metadata Generator,2025-07-02 07:26:06.5844490,Unified Metadata Generator,2025-07-02 07:26:06.5844582,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
54,Business Intelligence,"Analytics, reporting, performance metrics, and business insights across all operations",,"[""Performance Analytics"",""Business Reporting"",""KPI Monitoring"",""Data Insights""]",,,,0.9000,1,Unified Metadata Generator,2025-07-02 07:26:06.5939250,Unified Metadata Generator,2025-07-02 07:26:06.5939251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
55,Technical Operations,"System operations, API integrations, data management, and technical infrastructure",,"[""API Management"",""Data Integration"",""System Monitoring"",""Technical Infrastructure""]",,,,0.9000,1,Unified Metadata Generator,2025-07-02 07:26:06.5946917,Unified Metadata Generator,2025-07-02 07:26:06.5946918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00
