Id,Term,Definition,BusinessContext,Synonyms,RelatedTerms,Category,IsActive,UsageCount,LastUsed,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,Domain,Examples,MappedTables,MappedColumns,HierarchicalRelations,PreferredCalculation,DisambiguationRules,BusinessOwner,RegulationReferences,ConfidenceScore,AmbiguityScore,ContextualVariations,LastValidated,SemanticEmbedding,QueryPatterns,LLMPromptTemplates,DisambiguationContext,SemanticRelationships,ConceptualLevel,CrossDomainMappings,SemanticStability,InferenceRules,BusinessPurpose,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,BusinessRules,ImportanceScore,UsageFrequency,RelationshipContext,DataGovernanceLevel,LastBusinessReview
93,Gross Gaming Revenue (GGR),"Total amount wagered by players minus total winnings paid out, before deducting bonuses, taxes, or operational costs. Primary revenue metric for gambling operations.",Financial Reporting,"[""Gaming Revenue"",""Gross Win"",""Player Loss"",""House Win"",""Total Win""]","[""NGR"",""House Edge"",""Player Loss""]",Financial Reporting,1,0,NULL,2025-07-02 06:43:01.1849731,2025-07-02 06:43:01.1849735,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Financial Reporting,"[""Monthly GGR of $2.5M calculated as $15M total bets minus $12.5M player winnings"",""Daily GGR tracking for regulatory reporting"",""GGR by game vertical (casino, sports, live)""]","[""tbl_Daily_actions"",""tbl_Daily_actions_games"",""tbl_Financial_transactions""]","[""BetsCasino"",""WinsCasino"",""BetsSport"",""WinsSport"",""BetsLive"",""WinsLive""]","[""Parent: Total Revenue"",""Child: NGR"",""Sibling: Handle"",""Related: Player Loss""]",SUM(Total_Bets) - SUM(Total_Wins),"[""Always exclude bonuses and promotional costs"",""Include all game verticals (casino, sports, live)"",""Use net position (bets minus wins)"",""Report in base currency""]",Chief Financial Officer,"[""UK Gambling Commission reporting requirements"",""Malta Gaming Authority financial reporting"",""Curacao eGaming license conditions"",""IFRS revenue recognition standards""]",0.9500,0.0000,"[""Daily GGR"",""Monthly GGR"",""Game-specific GGR"",""Brand-level GGR""]",2025-07-02 06:43:01.1888892,,"[""SELECT SUM(bets - wins) FROM daily_actions WHERE date BETWEEN ? AND ?"",""What was the GGR for last month?"",""Show GGR by game vertical"",""Calculate daily GGR trends""]","[""Calculate the GGR for {time_period} by subtracting total wins from total bets"",""Show me the GGR breakdown by {dimension} for {date_range}"",""What factors are driving the GGR performance in {segment}?"",""Compare GGR between {period1} and {period2}""]","[""Not to be confused with total handle or turnover"",""Different from net gaming revenue (NGR)"",""Excludes operational costs and taxes"",""Primary metric for gambling operators""]","[""Directly related to NGR (Net Gaming Revenue)"",""Inverse relationship with RTP (Return to Player)"",""Positively correlated with player activity"",""Foundation for profitability calculations""]",Strategic,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for financial reporting and business decision-making,"[""NGR"",""House Edge"",""Player Loss""]",Gross Gaming Revenue GGR,"Total amount wagered by players minus total winnings paid out, before deducting bonuses, taxes, or operational costs. Primary revenue metric for gambling operations. This is a critical metric in the gambling industry for financial reporting.","[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",1.00,0.95,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Confidential,2025-07-02 06:43:01.1887258
94,Net Gaming Revenue (NGR),"Gross Gaming Revenue minus bonuses paid, free bet costs, and other player-favorable adjustments. More accurate representation of actual revenue after promotional costs.",Financial Reporting,"[""Net Win"",""Adjusted Revenue"",""Net Gaming Win"",""Revenue After Bonuses""]","[""GGR"",""Bonus Cost"",""Revenue Recognition""]",Financial Reporting,1,0,NULL,2025-07-02 06:43:01.2194406,2025-07-02 06:43:01.2194409,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Financial Reporting,"[""NGR of $2.1M calculated as $2.5M GGR minus $400K in bonus costs"",""Monthly NGR reporting for financial statements"",""NGR margin analysis by player segment""]","[""tbl_Daily_actions"",""tbl_Daily_actions_games"",""tbl_Financial_transactions""]","[""Deposits"",""PaidCashouts"",""BonusCosts"",""NetRevenue""]","[""Parent: GGR"",""Child: Profit Margin"",""Sibling: Operating Revenue"",""Related: Bonus Costs""]",GGR - SUM(Bonus_Costs) - SUM(Free_Bet_Costs),"[""Start with GGR as base calculation"",""Subtract all bonus costs and free bets"",""Include promotional adjustments"",""Exclude operational costs""]",Chief Financial Officer,"[""UK Gambling Commission reporting requirements"",""Malta Gaming Authority financial reporting"",""Curacao eGaming license conditions"",""IFRS revenue recognition standards""]",0.9500,0.0000,"[""Daily metric"",""Monthly metric"",""Annual metric"",""Real-time metric""]",2025-07-02 06:43:01.2194891,,"[""SELECT Net Gaming Revenue (NGR) FROM business_metrics WHERE date = ?"",""What is the current Net Gaming Revenue (NGR)?"",""Show Net Gaming Revenue (NGR) trends over time"",""Calculate Net Gaming Revenue (NGR) by segment""]","[""Calculate Net Gaming Revenue (NGR) for {time_period}"",""Show Net Gaming Revenue (NGR) breakdown by {dimension}"",""What is driving Net Gaming Revenue (NGR) performance?"",""Compare Net Gaming Revenue (NGR) across {segments}""]","[""Specific definition for gambling industry context"",""Not to be confused with similar terms in other industries"",""Standard calculation methodology applies"",""Regulatory compliance considerations""]","[""Part of broader business metrics framework"",""Related to operational performance indicators"",""Connected to financial reporting requirements"",""Influences strategic decision making""]",Strategic,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for financial reporting and business decision-making,"[""GGR"",""Bonus Cost"",""Revenue Recognition""]",Net Gaming Revenue NGR,"Gross Gaming Revenue minus bonuses paid, free bet costs, and other player-favorable adjustments. More accurate representation of actual revenue after promotional costs. This is a critical metric in the gambling industry for financial reporting.","[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",1.00,0.95,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Confidential,2025-07-02 06:43:01.2194886
95,Return to Player (RTP),Theoretical percentage of total wagered money that a game will pay back to players over extended play period. Regulatory requirement and key game profitability metric.,Game Performance,"[""Payout Percentage"",""Player Return"",""Theoretical RTP"",""Game RTP""]","[""House Edge"",""Game Margin"",""Payout Percentage""]",Game Performance,1,0,NULL,2025-07-02 06:43:01.2200538,2025-07-02 06:43:01.2200539,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Game Performance,"[""96.5% RTP means game theoretically returns $96.50 for every $100 wagered over time"",""Slot machine with 95% RTP for regulatory compliance"",""Live casino games with 98.5% RTP""]","[""tbl_Daily_actions_games"",""tbl_Game_sessions"",""tbl_Games""]","[""GameRTP"",""TheoreticalRTP"",""ActualRTP"",""PayoutPercentage""]","[""Parent: Game Performance"",""Child: Payout Rate"",""Sibling: House Edge"",""Related: Player Returns""]",(SUM(Total_Wins) / SUM(Total_Bets)) * 100,"[""Use theoretical RTP for game configuration"",""Calculate actual RTP from real play data"",""Express as percentage (0-100%)"",""Regulatory minimum varies by jurisdiction""]",Head of Game Operations,"[""UK Gambling Commission RTP disclosure requirements"",""Malta Gaming Authority game fairness standards"",""eCOGRA testing and certification"",""ISO 27001 security standards""]",0.9500,0.0000,"[""Theoretical RTP"",""Actual RTP"",""Game RTP"",""Session RTP""]",2025-07-02 06:43:01.2200887,,"[""SELECT Return to Player (RTP) FROM business_metrics WHERE date = ?"",""What is the current Return to Player (RTP)?"",""Show Return to Player (RTP) trends over time"",""Calculate Return to Player (RTP) by segment""]","[""Calculate Return to Player (RTP) for {time_period}"",""Show Return to Player (RTP) breakdown by {dimension}"",""What is driving Return to Player (RTP) performance?"",""Compare Return to Player (RTP) across {segments}""]","[""Theoretical percentage, not guaranteed individual return"",""Calculated over millions of game rounds"",""Different from hit frequency or volatility"",""Regulatory requirement in most jurisdictions""]","[""Part of broader business metrics framework"",""Related to operational performance indicators"",""Connected to financial reporting requirements"",""Influences strategic decision making""]",Operational,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for game performance and business decision-making,"[""House Edge"",""Game Margin"",""Payout Percentage""]",Return to Player RTP,Theoretical percentage of total wagered money that a game will pay back to players over extended play period. Regulatory requirement and key game profitability metric. This is a critical metric in the gambling industry for game performance.,"[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",1.00,0.95,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Confidential,2025-07-02 06:43:01.2200882
96,House Edge,"Built-in mathematical advantage that ensures casino profitability, calculated as 100% minus RTP. Represents expected profit percentage on each bet over time.",Game Performance,"[""Casino Advantage"",""House Advantage"",""Mathematical Edge"",""Expected Loss""]","[""RTP"",""Game Margin"",""Expected Value""]",Game Performance,1,0,NULL,2025-07-02 06:43:01.2205089,2025-07-02 06:43:01.2205091,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Game Performance,"[""3.5% house edge on game with 96.5% RTP ensures long-term profitability"",""Blackjack with 0.5% house edge with optimal play"",""Roulette with 2.7% house edge (European) vs 5.26% (American)""]","[""tbl_Daily_actions_games"",""tbl_Game_sessions"",""tbl_Games""]","[""HouseEdge"",""GameMargin"",""ExpectedValue"",""MathematicalAdvantage""]","[""Parent: Game Mathematics"",""Child: Expected Profit"",""Sibling: RTP"",""Related: Casino Advantage""]",100 - RTP,"[""Follow industry standard definitions"",""Use consistent calculation methodology"",""Apply appropriate time period filters"",""Ensure regulatory compliance""]",Head of Game Operations,"[""UK Gambling Commission RTP disclosure requirements"",""Malta Gaming Authority game fairness standards"",""eCOGRA testing and certification"",""ISO 27001 security standards""]",0.8500,0.0000,"[""Daily metric"",""Monthly metric"",""Annual metric"",""Real-time metric""]",2025-07-02 06:43:01.2205384,,"[""SELECT House Edge FROM business_metrics WHERE date = ?"",""What is the current House Edge?"",""Show House Edge trends over time"",""Calculate House Edge by segment""]","[""Calculate House Edge for {time_period}"",""Show House Edge breakdown by {dimension}"",""What is driving House Edge performance?"",""Compare House Edge across {segments}""]","[""Specific definition for gambling industry context"",""Not to be confused with similar terms in other industries"",""Standard calculation methodology applies"",""Regulatory compliance considerations""]","[""Part of broader business metrics framework"",""Related to operational performance indicators"",""Connected to financial reporting requirements"",""Influences strategic decision making""]",Operational,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for game performance and business decision-making,"[""RTP"",""Game Margin"",""Expected Value""]",House Edge,"Built-in mathematical advantage that ensures casino profitability, calculated as 100% minus RTP. Represents expected profit percentage on each bet over time. This is a critical metric in the gambling industry for game performance.","[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",0.85,0.75,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Internal,2025-07-02 06:43:01.2205378
97,Player Lifetime Value (LTV),Predicted total revenue a player will generate throughout their relationship with the platform. Critical metric for marketing spend optimization and player acquisition strategy.,Player Analytics,"[""Customer Lifetime Value"",""CLV"",""Player Value"",""Lifetime Revenue""]","[""Customer Acquisition Cost"",""ARPU"",""Player Value""]",Player Analytics,1,0,NULL,2025-07-02 06:43:01.2208543,2025-07-02 06:43:01.2208544,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Player Analytics,"[""Player with $500 LTV justifies up to $200 customer acquisition cost"",""High-value player segment with $2,000\u002B LTV"",""LTV calculation: Average monthly spend \u00D7 retention months""]","[""tbl_Daily_actions_players"",""tbl_Players"",""tbl_Player_segments""]","[""PlayerLTV"",""LifetimeRevenue"",""PlayerValue"",""TotalSpend""]","[""Parent: Player Analytics"",""Child: Customer Value"",""Sibling: ARPU"",""Related: Retention""]",AVG(Monthly_Revenue) * AVG(Retention_Months),"[""Follow industry standard definitions"",""Use consistent calculation methodology"",""Apply appropriate time period filters"",""Ensure regulatory compliance""]",Head of Player Analytics,"[""General gambling industry regulations"",""Financial reporting standards"",""Data protection compliance"",""Anti-money laundering requirements""]",0.9500,0.0000,"[""Daily metric"",""Monthly metric"",""Annual metric"",""Real-time metric""]",2025-07-02 06:43:01.2215576,,"[""SELECT AVG(total_revenue) FROM player_summary WHERE player_id = ?"",""What is the LTV for high-value players?"",""Show LTV by acquisition channel"",""Calculate LTV cohort analysis""]","[""Calculate the LTV for players acquired through {channel} in {period}"",""What is the average LTV for {player_segment}?"",""Show LTV trends for {cohort} over {timeframe}"",""How does LTV vary by {dimension}?""]","[""Specific definition for gambling industry context"",""Not to be confused with similar terms in other industries"",""Standard calculation methodology applies"",""Regulatory compliance considerations""]","[""Directly related to ARPU (Average Revenue Per User)"",""Inverse relationship with CAC (Customer Acquisition Cost)"",""Positively correlated with retention rate"",""Key input for marketing spend optimization""]",Analytical,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for player analytics and business decision-making,"[""Customer Acquisition Cost"",""ARPU"",""Player Value""]",Player Lifetime Value LTV,Predicted total revenue a player will generate throughout their relationship with the platform. Critical metric for marketing spend optimization and player acquisition strategy. This is a critical metric in the gambling industry for player analytics.,"[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",1.00,0.95,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Confidential,2025-07-02 06:43:01.2215570
98,Average Revenue Per User (ARPU),Total revenue divided by number of active players over specific time period. Key metric for business performance and player segment analysis.,Business Intelligence,"[""Revenue Per Player"",""Average Player Value"",""Per-Player Revenue""]","[""LTV"",""Player Value"",""Revenue per Player""]",Business Intelligence,1,0,NULL,2025-07-02 06:43:01.2220044,2025-07-02 06:43:01.2220045,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Business Intelligence,"[""Business example for Average Revenue Per User (ARPU)"",""Practical application in gambling operations"",""Real-world usage scenario""]","[""tbl_Daily_actions_players"",""tbl_Players"",""tbl_Player_segments""]","[""ARPU"",""RevenuePerPlayer"",""AverageSpend"",""PlayerRevenue""]","[""Parent: Business Metrics"",""Child: Performance Indicator"",""Sibling: Related KPI"",""Related: Operational Metric""]",SUM(Total_Revenue) / COUNT(DISTINCT Player_ID),"[""Follow industry standard definitions"",""Use consistent calculation methodology"",""Apply appropriate time period filters"",""Ensure regulatory compliance""]",Head of Player Analytics,"[""General gambling industry regulations"",""Financial reporting standards"",""Data protection compliance"",""Anti-money laundering requirements""]",0.8500,0.0000,"[""Daily metric"",""Monthly metric"",""Annual metric"",""Real-time metric""]",2025-07-02 06:43:01.2220372,,"[""SELECT Average Revenue Per User (ARPU) FROM business_metrics WHERE date = ?"",""What is the current Average Revenue Per User (ARPU)?"",""Show Average Revenue Per User (ARPU) trends over time"",""Calculate Average Revenue Per User (ARPU) by segment""]","[""Calculate Average Revenue Per User (ARPU) for {time_period}"",""Show Average Revenue Per User (ARPU) breakdown by {dimension}"",""What is driving Average Revenue Per User (ARPU) performance?"",""Compare Average Revenue Per User (ARPU) across {segments}""]","[""Specific definition for gambling industry context"",""Not to be confused with similar terms in other industries"",""Standard calculation methodology applies"",""Regulatory compliance considerations""]","[""Part of broader business metrics framework"",""Related to operational performance indicators"",""Connected to financial reporting requirements"",""Influences strategic decision making""]",Analytical,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for business intelligence and business decision-making,"[""LTV"",""Player Value"",""Revenue per Player""]",Average Revenue Per User ARPU,Total revenue divided by number of active players over specific time period. Key metric for business performance and player segment analysis. This is a critical metric in the gambling industry for business intelligence.,"[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",0.85,0.75,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Internal,2025-07-02 06:43:01.2220367
99,Customer Acquisition Cost (CAC),Total marketing and acquisition expenses divided by number of new players acquired. Must be balanced against LTV for profitable growth.,Marketing Analytics,"[""Player Acquisition Cost"",""Marketing Cost Per Player"",""Acquisition Expense""]","[""LTV"",""Marketing ROI"",""Player Acquisition""]",Marketing Analytics,1,0,NULL,2025-07-02 06:43:01.2225206,2025-07-02 06:43:01.2225208,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Marketing Analytics,"[""Business example for Customer Acquisition Cost (CAC)"",""Practical application in gambling operations"",""Real-world usage scenario""]","[""tbl_Daily_actions"",""tbl_Marketing_campaigns"",""tbl_Player_acquisition""]","[""CAC"",""AcquisitionCost"",""MarketingSpend"",""PlayerAcquisition""]","[""Parent: Business Metrics"",""Child: Performance Indicator"",""Sibling: Related KPI"",""Related: Operational Metric""]",SUM(Marketing_Spend) / COUNT(New_Players),"[""Follow industry standard definitions"",""Use consistent calculation methodology"",""Apply appropriate time period filters"",""Ensure regulatory compliance""]",Chief Marketing Officer,"[""General gambling industry regulations"",""Financial reporting standards"",""Data protection compliance"",""Anti-money laundering requirements""]",0.8500,0.0000,"[""Daily metric"",""Monthly metric"",""Annual metric"",""Real-time metric""]",2025-07-02 06:43:01.2225570,,"[""SELECT Customer Acquisition Cost (CAC) FROM business_metrics WHERE date = ?"",""What is the current Customer Acquisition Cost (CAC)?"",""Show Customer Acquisition Cost (CAC) trends over time"",""Calculate Customer Acquisition Cost (CAC) by segment""]","[""Calculate Customer Acquisition Cost (CAC) for {time_period}"",""Show Customer Acquisition Cost (CAC) breakdown by {dimension}"",""What is driving Customer Acquisition Cost (CAC) performance?"",""Compare Customer Acquisition Cost (CAC) across {segments}""]","[""Specific definition for gambling industry context"",""Not to be confused with similar terms in other industries"",""Standard calculation methodology applies"",""Regulatory compliance considerations""]","[""Part of broader business metrics framework"",""Related to operational performance indicators"",""Connected to financial reporting requirements"",""Influences strategic decision making""]",Tactical,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for marketing analytics and business decision-making,"[""LTV"",""Marketing ROI"",""Player Acquisition""]",Customer Acquisition Cost CAC,Total marketing and acquisition expenses divided by number of new players acquired. Must be balanced against LTV for profitable growth. This is a critical metric in the gambling industry for marketing analytics.,"[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",0.85,0.75,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Internal,2025-07-02 06:43:01.2225565
100,Daily Active Users (DAU),Number of unique players who engaged with platform on specific day. Primary engagement metric for product performance and retention analysis.,Engagement Analytics,"[""Daily Players"",""Active Players"",""Daily Engagement"",""Daily Users""]","[""MAU"",""Player Engagement"",""Activity Rate""]",Engagement Analytics,1,0,NULL,2025-07-02 06:43:01.2230036,2025-07-02 06:43:01.2230038,Enhanced Metadata Generation System,Enhanced Metadata Generation System,Engagement Analytics,"[""Business example for Daily Active Users (DAU)"",""Practical application in gambling operations"",""Real-world usage scenario""]","[""tbl_Daily_actions_players"",""tbl_Player_sessions"",""tbl_Activity_logs""]","[""DAU"",""ActivePlayers"",""DailyUsers"",""PlayerActivity""]","[""Parent: Business Metrics"",""Child: Performance Indicator"",""Sibling: Related KPI"",""Related: Operational Metric""]",COUNT(DISTINCT Player_ID WHERE Activity_Date = CURRENT_DATE),"[""Follow industry standard definitions"",""Use consistent calculation methodology"",""Apply appropriate time period filters"",""Ensure regulatory compliance""]",Head of Product,"[""General gambling industry regulations"",""Financial reporting standards"",""Data protection compliance"",""Anti-money laundering requirements""]",0.8500,0.0000,"[""Daily metric"",""Monthly metric"",""Annual metric"",""Real-time metric""]",2025-07-02 06:43:01.2230424,,"[""SELECT Daily Active Users (DAU) FROM business_metrics WHERE date = ?"",""What is the current Daily Active Users (DAU)?"",""Show Daily Active Users (DAU) trends over time"",""Calculate Daily Active Users (DAU) by segment""]","[""Calculate Daily Active Users (DAU) for {time_period}"",""Show Daily Active Users (DAU) breakdown by {dimension}"",""What is driving Daily Active Users (DAU) performance?"",""Compare Daily Active Users (DAU) across {segments}""]","[""Specific definition for gambling industry context"",""Not to be confused with similar terms in other industries"",""Standard calculation methodology applies"",""Regulatory compliance considerations""]","[""Part of broader business metrics framework"",""Related to operational performance indicators"",""Connected to financial reporting requirements"",""Influences strategic decision making""]",Tactical,"[""Financial Reporting"",""Regulatory Compliance"",""Business Intelligence"",""Operational Analytics""]",0.95,"[""If value increases, profitability improves"",""Correlates with player activity levels"",""Subject to regulatory monitoring"",""Impacts strategic decisions""]",Essential gambling industry metric for engagement analytics and business decision-making,"[""MAU"",""Player Engagement"",""Activity Rate""]",Daily Active Users DAU,Number of unique players who engaged with platform on specific day. Primary engagement metric for product performance and retention analysis. This is a critical metric in the gambling industry for engagement analytics.,"[""Must be calculated consistently"",""Subject to regulatory reporting"",""Requires accurate data sources"",""Updated in real-time for operations""]",0.85,0.75,"[""Core business metric"",""Regulatory requirement"",""Strategic KPI"",""Operational indicator""]",Internal,2025-07-02 06:43:01.2230419
101,Hold Percentage,Percentage of money wagered that the casino keeps as profit,"Inverse of RTP, measures casino retention",,,Financial,1,0,NULL,2025-07-02 07:14:09.6956819,2025-07-02 07:14:09.6956822,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Financial,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
102,Lifetime Value (LTV),Total revenue expected from a player over their entire relationship with the operator,Key metric for player value assessment and marketing spend,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7045698,2025-07-02 07:14:09.7045700,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
